date,province,cum_no,daily_no,cum_no_perc_pop,daily_no_perc_pop
2020-04-17,EC,9,9,0.0,0.0
2020-04-18,EC,9,0,0.0,0.0
2020-04-19,EC,9,0,0.0,0.0
2020-04-20,EC,15,6,0.0,0.0
2020-04-21,EC,15,0,0.0,0.0
2020-04-22,EC,15,0,0.0,0.0
2020-04-23,EC,19,4,0.0,0.0
2020-04-24,EC,19,0,0.0,0.0
2020-04-25,EC,19,0,0.0,0.0
2020-04-26,EC,19,0,0.0,0.0
2020-04-27,EC,19,0,0.0,0.0
2020-04-28,EC,19,0,0.0,0.0
2020-04-29,EC,19,0,0.0,0.0
2020-04-30,EC,19,0,0.0,0.0
2020-05-01,EC,19,0,0.0,0.0
2020-05-02,EC,275,256,0.004,0.004
2020-05-03,EC,275,0,0.004,0.0
2020-05-04,EC,341,66,0.005,0.001
2020-05-05,EC,341,0,0.005,0.0
2020-05-06,EC,388,47,0.006,0.001
2020-05-07,EC,388,0,0.006,0.0
2020-05-08,EC,388,0,0.006,0.0
2020-05-09,EC,388,0,0.006,0.0
2020-05-10,EC,519,131,0.008,0.002
2020-05-11,EC,519,0,0.008,0.0
2020-05-12,EC,519,0,0.008,0.0
2020-05-13,EC,632,113,0.009,0.002
2020-05-14,EC,643,11,0.01,0.0
2020-05-15,EC,643,0,0.01,0.0
2020-05-16,EC,746,103,0.011,0.002
2020-05-17,EC,839,93,0.012,0.001
2020-05-18,EC,839,0,0.012,0.0
2020-05-19,EC,839,0,0.012,0.0
2020-05-20,EC,1036,197,0.015,0.003
2020-05-21,EC,1036,0,0.015,0.0
2020-05-22,EC,1036,0,0.015,0.0
2020-05-23,EC,1036,0,0.015,0.0
2020-05-24,EC,1335,299,0.02,0.004
2020-05-25,EC,1335,0,0.02,0.0
2020-05-26,EC,1491,156,0.022,0.002
2020-05-27,EC,1491,0,0.022,0.0
2020-05-28,EC,1700,209,0.025,0.003
2020-05-29,EC,1700,0,0.025,0.0
2020-05-30,EC,1987,287,0.03,0.004
2020-05-31,EC,1987,0,0.03,0.0
2020-06-01,EC,2123,136,0.032,0.002
2020-06-02,EC,2123,0,0.032,0.0
2020-06-03,EC,2123,0,0.032,0.0
2020-06-04,EC,2460,337,0.037,0.005
2020-06-05,EC,2460,0,0.037,0.0
2020-06-06,EC,2666,206,0.04,0.003
2020-06-07,EC,2666,0,0.04,0.0
2020-06-08,EC,2666,0,0.04,0.0
2020-06-09,EC,3514,848,0.052,0.013
2020-06-10,EC,3647,133,0.054,0.002
2020-06-11,EC,3647,0,0.054,0.0
2020-06-12,EC,4393,746,0.065,0.011
2020-06-13,EC,4559,166,0.068,0.002
2020-06-14,EC,5244,685,0.078,0.01
2020-06-15,EC,5331,87,0.079,0.001
2020-06-16,EC,5475,144,0.082,0.002
2020-06-17,EC,5845,370,0.087,0.006
2020-06-18,EC,6331,486,0.094,0.007
2020-06-19,EC,6331,0,0.094,0.0
2020-06-20,EC,7470,1139,0.111,0.017
2020-06-21,EC,7738,268,0.115,0.004
2020-06-22,EC,8035,297,0.12,0.004
2020-06-23,EC,8259,224,0.123,0.003
2020-06-24,EC,9668,1409,0.144,0.021
2020-06-25,EC,10439,771,0.156,0.011
2020-06-26,EC,11349,910,0.169,0.014
2020-06-27,EC,12192,843,0.182,0.013
2020-06-28,EC,12567,375,0.187,0.006
2020-06-29,EC,12824,257,0.191,0.004
2020-06-30,EC,14081,1257,0.21,0.019
2020-07-01,EC,14384,303,0.214,0.005
2020-07-02,EC,15843,1459,0.236,0.022
2020-07-03,EC,17403,1560,0.259,0.023
2020-07-04,EC,18980,1577,0.283,0.023
